# M = 12, N = 6, V/t = 1.5, alpha=2 
# n   P_(n)^(alpha)            P_(n,alpha) 
  0   2.5568577560483401584108216979530398370332482615581164384152047279435141554118698540368397702456120625359257508768922506e-18 3.358600709603660643869851236951332495105051796594959456369017128882879916478956956925326738985538812077875624268621455e-18 
  1   1.9825435160880363004723753575032681952603489121200632223917728708744553679151854750139981460711274616985449800735299672e-07 2.5642249647694342367449895475877030269961111343860836769480892522269835076990571420640685535500046288845964984989663333e-07 
  2   3.4324810644749022348298837349780126718836956166411402712608272297832484381313769713001207681574924585005392852037509706e-02 4.1053874049448463192713776233107295417657228218404390463522424725208582897152214017560888157709639495303638074005199069e-02 
  3   9.3134998220179874632757449579665623804959351214922380450534705454670894891045211010630487553256917936269130681529359996e-01 9.1789173905611012945062191684107350250532403686891589570112126030626364278773607639830025843770154512194031588206004017e-01 
  4   3.4324810644749008603086541110683211612072931135313113570032336626252769202202025513089017886502872463864450929413267896e-02 4.1053874049448446752879038818309998144784180519762554161300321398771942141596630266575237927046571394205592777307110503e-02 
  5   1.9825435160880369456640879251832468832452629860765818274026667188672720511757462953020732868904378673945165480833840329e-07 2.5642249647694316017440140150644032019260396751281899573452217120647083658525773849684054219494488149611418658773031583e-07 
  6   2.5568577560482119965571670520348220225142590955271303849180854576309137118803398733950661698514907441002379285260022504e-18 3.3586007096034922948517604252265037131416407676436999466353105952712309957511877371178793297072524006808241428376594031e-18 
