# M = 32, N = 16, V/t = 10.0, alpha=2 
# n   P_(n)^(alpha)            P_(n,alpha) 
  0   4.6007990629972377e-67   9.207349743354962e-67    
  1   1.4839084704345192e-62   9.464447366667925e-63    
  2   2.3805834481540257e-61   4.249367627496359e-62    
  3   2.5139751648923596e-61   3.181062765692349e-62    
  4   7.124504014042214e-61    4.568517699370648e-62    
  5   1.4448417683717476e-36   1.450787785238121e-36    
  6   1.1763038234334004e-16   1.176483552314489e-16    
  7   0.0001041236871685027    0.00010412401169477871   
  8   0.999791752625665        0.9997917519766102       
  9   0.00010412368716625298   0.00010412401169477825   
  10  1.1763038234162223e-16   1.1764835523144794e-16   
  11  1.444841768360716e-36    1.4507877852394439e-36   
  12  7.118124035273294e-61    4.583006838905049e-62    
  13  2.538238666586279e-61    3.208768069177509e-62    
  14  2.4115642232307766e-61   4.31557792306958e-62     
  15  1.4465971330152317e-62   9.150990207546732e-63    
  16  3.6220688604433224e-67   7.248665793913384e-67    
