# M=28, N=14, max=1, PBC
# U/t E0/t              S1(l=14)            S1_OP(l=14)          S2(l=14)            S2_OP(l=14)              Sigma2_n(l=14)
0.030000000019365043 -17.738594006233825 1.4557207425211924 0.4374047520039275 1.110891156253502 0.24016502521497018 0.44877152092895756
0.033244105879950324 -17.725199820890815 1.455721973191118 0.4377349332680131 1.110782726662949 0.24039275099085766 0.44847543269565193
0.03683901916813195 -17.710365870428422 1.4557234814422468 0.43810056771354206 1.1106628866875747 0.24064502305895183 0.4481479027072979
0.04082267509827884 -17.693938425966625 1.4557253294965495 0.4385054334286467 1.1105304731543582 0.24092447890203453 0.4477856589610738
0.04523711107979916 -17.675747579891524 1.4557275933862721 0.4389537049369163 1.110384212853796 0.24123403778962085 0.4473851036953107
0.05012891031563895 -17.655605596931977 1.455730365970794 0.43944999351218944 1.110222714100567 0.24157693062262897 0.4469422841525983
0.055549693370130444 -17.633305109561014 1.4557337605954894 0.4399993913466033 1.1100444581257884 0.2419567329243283 0.44645286125396666
0.06155666289344478 -17.60861714594305 1.4557379155234642 0.44060751988979274 1.1098477904377528 0.24237740129924276 0.44591207658324805
0.06821320725083786 -17.58128897849489 1.455742999295366 0.4412805827138415 1.109630912333156 0.24284331375525825 0.4453147174707439
0.07558956942646847 -17.55104178119899 1.4557492172011341 0.4420254232824684 1.109391872796695 0.2433593143320928 0.4446550801105218
0.08376358826037628 -17.5175680841818 1.4557568190802312 0.4428495880221284 1.1091285610951427 0.24393076251819504 0.4439269312443699
0.09282151984050067 -17.480529014844983 1.4557661087042189 0.4437613951378736 1.1088387004551237 0.2445635880374943 0.4431234685778165
0.1028589477174549 -17.439551316128334 1.4557774550375369 0.44477000967015246 1.1085198433142525 0.24526435170567518 0.4422372797812386
0.11398179154706943 -17.39422413444395 1.4557913057193277 0.445885525327074 1.1081693687565943 0.2460403131364786 0.44126030102862757
0.12630742480437515 -17.344095572627552 1.455808203159908 0.4471190537275177 1.10778448288929 0.2468995062932667 0.4401837750793405
0.13996591336366884 -17.288669007140545 1.4558288037006593 0.4484828217915343 1.1073622230916549 0.2478508240826498 0.4389982093745459
0.15510138801474055 -17.227399173996155 1.4558539003425346 0.4499902781594219 1.1068994672774197 0.24890411346172353 0.4376933350765029
0.17187356539869844 -17.159688034828342 1.4558844496054355 0.4516562097620289 1.1063929495610063 0.2500702829828612 0.4362580667584055
0.19045943341302143 -17.084880443596038 1.4559216031331956 0.4534968699406571 1.1058392840185114 0.2513614251691122 0.43468046388181136
0.2110551188710247 -17.002259646145458 1.455966744702802 0.45553011996959636 1.1052349985950798 0.25279095689281583 0.4329476941369492
0.23387795712415968 -16.911042659904428 1.456021533322428 0.4577755864602578 1.1045765816461053 0.2543737819618121 0.43104599814439837
0.2591687854867744 -16.81037560016063 1.4560879531000968 0.4602548379953149 1.103860544131769 0.25612648150395156 0.42896065521131277
0.28719448466463093 -16.69932904372648 1.456168370515055 0.4629915855971564 1.1030835011390308 0.2580675397221004 0.4266759491885992
0.3182507950055274 -16.576893551600907 1.456265599600805 0.46601191346769977 1.1022422772222262 0.26021761548831873 0.42417513055575284
0.35266543729042454 -16.441975511179148 1.4563829753110085 0.46934454895456607 1.101334041086477 0.2625998741366236 0.4214403715698509
