# M=28, N=[1,14], max=1, PBC
# U/t                  E0/t                  S1(l=14)             S1_OP(l=14)          S2.0(l=14)           S2.0_OP(l=14)        Sigma2_n(l=14)       H(2.0)              S(2.0)_OP(5) 
  2.0                   -2.0                 0.6931471805599452   2.2204460492503146e-16 0.6931471805599444   4.44089209850063e-16 0.25                 0.693147180559944    -8.88178419700125e-16 
  2.0                   -3.9729534309677725  0.9466553239670993   0.150116081005617    0.6956925921918166   0.07700238302167493  0.285855733731345    0.5962767943328255   0.07640450175075292  
  2.0                   -5.888076832793605   1.0856159987738938   0.2303914363819804   0.8887213397306822   0.11495468762397226  0.3263358661227862   0.7694045359469573   0.1148211479265299   
  2.0                   -7.710771126755739   1.1796710682058815   0.3034319628801427   0.8757013718819824   0.16168596913070607  0.33678572637554094  0.6892841685286527   0.1609655356649723   
  2.0                   -9.402619858366775   1.2498592934761001   0.35495929123207587  0.992741948870483    0.19085900145967816  0.3521489000383582   0.7949672710307815   0.1906013305052066   
  2.0                   -10.921484155651518  1.304730566415028    0.4062773779315549   0.9698600252896166   0.2267679071266775   0.35237479822932904  0.7153092209369015   0.22584589174382005  
  2.0                   -12.221716635540055  1.348540357107969    0.444589034164957    1.058855988773532    0.2493183411879758   0.35838932189174244  0.8010970959339706   0.24895267569731988  
  2.0                   -13.254518548065146  1.383714168600159    0.485042891093125    1.0268685194252574   0.2798553746694361   0.3524924866045289   0.7150797013574339   0.2786251485764014   
  2.0                   -13.968465212603947  1.4117282544236762   0.513902472801443    1.1025254150591501   0.29643489409524687  0.35414286311925025  0.7968875453578685   0.29598195352706314  
  2.0                   -14.310222123384818  1.4335280218169402   0.5473852284992541   1.061126402374192    0.3244773956075186   0.3435266793110223   0.6993119298737328   0.32278286434111486  
  2.0                   -14.225461870565125  1.4497298807667494   0.5672576576536438   1.1295385211485558   0.3338812835574493   0.343773072413736    0.7866185493683847   0.3333988322817505   
  2.0                   -13.659949325945039  1.4607221977661302   0.5962198423375168   1.0786175924902137   0.36284424969436646  0.32848268237367506  0.671919375646786    0.360483517598498    
  2.0                   -12.560595182690689  1.4666821445743192   0.6040529464297714   1.140867958451405    0.3593574362405061   0.3309356112458204   0.7738811897456702   0.3589640018632246   
  2.0                   -10.875295083089394  1.466175772857027    0.6309072908725454   1.082217359106055    0.40061879188739313  0.3089796631023063   0.6343502874665492   0.3978594763421401   
