# ./dmrgSacc --pbc -N 29 --Vi=2.5039 --Vf=2.7929 -n 33 
#            V (t)        energy (t)          S1(l=29)          S2(l=29)       S1acc(l=29)       S2acc(l=29)
    2.50390000e+00   -1.96243700e+01    1.69714308e+00    1.29977173e+00    8.41659720e-01    5.22646319e-01
    2.51293125e+00   -1.95773873e+01    1.69650346e+00    1.29928389e+00    8.42083057e-01    5.22893738e-01
    2.52196250e+00   -1.95305283e+01    1.69583890e+00    1.29877680e+00    8.42484809e-01    5.23122966e-01
    2.53099375e+00   -1.94837932e+01    1.69514871e+00    1.29824991e+00    8.42864243e-01    5.23333402e-01
    2.54002500e+00   -1.94371823e+01    1.69443219e+00    1.29770266e+00    8.43220613e-01    5.23524432e-01
    2.54905625e+00   -1.93906961e+01    1.69368865e+00    1.29713449e+00    8.43553160e-01    5.23695432e-01
    2.55808750e+00   -1.93443347e+01    1.69291737e+00    1.29654483e+00    8.43861116e-01    5.23845772e-01
    2.56711875e+00   -1.92980986e+01    1.69211763e+00    1.29593312e+00    8.44143700e-01    5.23974809e-01
    2.57615000e+00   -1.92519879e+01    1.69128871e+00    1.29529877e+00    8.44400124e-01    5.24081894e-01
    2.58518125e+00   -1.92060031e+01    1.69042989e+00    1.29464120e+00    8.44629589e-01    5.24166370e-01
    2.59421250e+00   -1.91601444e+01    1.68954044e+00    1.29395984e+00    8.44831289e-01    5.24227575e-01
    2.60324375e+00   -1.91144122e+01    1.68861963e+00    1.29325409e+00    8.45004410e-01    5.24264839e-01
    2.61227500e+00   -1.90688068e+01    1.68766672e+00    1.29252337e+00    8.45148134e-01    5.24277489e-01
    2.62130625e+00   -1.90233285e+01    1.68668099e+00    1.29176709e+00    8.45261635e-01    5.24264848e-01
    2.63033750e+00   -1.89779776e+01    1.68566171e+00    1.29098467e+00    8.45344087e-01    5.24226235e-01
    2.63936875e+00   -1.89327544e+01    1.68460815e+00    1.29017553e+00    8.45394658e-01    5.24160970e-01
    2.64840000e+00   -1.88876593e+01    1.68351958e+00    1.28933908e+00    8.45412517e-01    5.24068372e-01
    2.65743125e+00   -1.88426925e+01    1.68239530e+00    1.28847476e+00    8.45396834e-01    5.23947759e-01
    2.66646250e+00   -1.87978544e+01    1.68123459e+00    1.28758200e+00    8.45346778e-01    5.23798455e-01
    2.67549375e+00   -1.87531453e+01    1.68003675e+00    1.28666024e+00    8.45261523e-01    5.23619785e-01
    2.68452500e+00   -1.87085654e+01    1.67880110e+00    1.28570892e+00    8.45140247e-01    5.23411080e-01
    2.69355625e+00   -1.86641152e+01    1.67752695e+00    1.28472752e+00    8.44982135e-01    5.23171681e-01
    2.70258750e+00   -1.86197948e+01    1.67621365e+00    1.28371550e+00    8.44786381e-01    5.22900933e-01
    2.71161875e+00   -1.85756047e+01    1.67486053e+00    1.28267235e+00    8.44552187e-01    5.22598195e-01
    2.72065000e+00   -1.85315451e+01    1.67346698e+00    1.28159757e+00    8.44278768e-01    5.22262836e-01
    2.72968125e+00   -1.84876162e+01    1.67203239e+00    1.28049069e+00    8.43965352e-01    5.21894239e-01
    2.73871250e+00   -1.84438184e+01    1.67055615e+00    1.27935124e+00    8.43611183e-01    5.21491804e-01
    2.74774375e+00   -1.84001520e+01    1.66903770e+00    1.27817878e+00    8.43215523e-01    5.21054947e-01
    2.75677500e+00   -1.83566173e+01    1.66747650e+00    1.27697289e+00    8.42777651e-01    5.20583104e-01
    2.76580625e+00   -1.83132145e+01    1.66587203e+00    1.27573319e+00    8.42296871e-01    5.20075733e-01
    2.77483750e+00   -1.82699439e+01    1.66422380e+00    1.27445930e+00    8.41772506e-01    5.19532313e-01
    2.78386875e+00   -1.82268058e+01    1.66253135e+00    1.27315088e+00    8.41203910e-01    5.18952350e-01
    2.79290000e+00   -1.81838003e+01    1.66079426e+00    1.27180762e+00    8.40590459e-01    5.18335377e-01
