# ./dmrgSacc --pbc -N 15 --Vi=2.61 --Vf=2.96 -n 36 
#            V (t)        energy (t)          S1(l=15)          S2(l=15)       S1acc(l=15)       S2acc(l=15)
    2.61000000e+00   -9.91206381e+00    1.47808887e+00    1.14479638e+00    6.65922230e-01    3.95313923e-01
    2.62000000e+00   -9.88598797e+00    1.47760193e+00    1.14443450e+00    6.66233018e-01    3.95440035e-01
    2.63000000e+00   -9.85998959e+00    1.47710037e+00    1.14406169e+00    6.66528818e-01    3.95554131e-01
    2.64000000e+00   -9.83406881e+00    1.47658391e+00    1.14367777e+00    6.66809334e-01    3.95655989e-01
    2.65000000e+00   -9.80822577e+00    1.47605230e+00    1.14328255e+00    6.67074273e-01    3.95745389e-01
    2.66000000e+00   -9.78246058e+00    1.47550529e+00    1.14287582e+00    6.67323338e-01    3.95822108e-01
    2.67000000e+00   -9.75677340e+00    1.47494262e+00    1.14245740e+00    6.67556233e-01    3.95885923e-01
    2.68000000e+00   -9.73116434e+00    1.47436404e+00    1.14202708e+00    6.67772662e-01    3.95936613e-01
    2.69000000e+00   -9.70563355e+00    1.47376929e+00    1.14158469e+00    6.67972329e-01    3.95973955e-01
    2.70000000e+00   -9.68018114e+00    1.47315812e+00    1.14113003e+00    6.68154938e-01    3.95997730e-01
    2.71000000e+00   -9.65480726e+00    1.47253029e+00    1.14066291e+00    6.68320194e-01    3.96007716e-01
    2.72000000e+00   -9.62951202e+00    1.47188554e+00    1.14018314e+00    6.68467802e-01    3.96003693e-01
    2.73000000e+00   -9.60429555e+00    1.47122362e+00    1.13969053e+00    6.68597469e-01    3.95985445e-01
    2.74000000e+00   -9.57915797e+00    1.47054430e+00    1.13918491e+00    6.68708903e-01    3.95952753e-01
    2.75000000e+00   -9.55409942e+00    1.46984733e+00    1.13866609e+00    6.68801814e-01    3.95905404e-01
    2.76000000e+00   -9.52912000e+00    1.46913247e+00    1.13813389e+00    6.68875914e-01    3.95843185e-01
    2.77000000e+00   -9.50421984e+00    1.46839950e+00    1.13758814e+00    6.68930917e-01    3.95765885e-01
    2.78000000e+00   -9.47939905e+00    1.46764817e+00    1.13702865e+00    6.68966540e-01    3.95673296e-01
    2.79000000e+00   -9.45465776e+00    1.46687827e+00    1.13645527e+00    6.68982504e-01    3.95565214e-01
    2.80000000e+00   -9.42999606e+00    1.46608956e+00    1.13586782e+00    6.68978532e-01    3.95441437e-01
    2.81000000e+00   -9.40541409e+00    1.46528184e+00    1.13526615e+00    6.68954350e-01    3.95301766e-01
    2.82000000e+00   -9.38091193e+00    1.46445489e+00    1.13465009e+00    6.68909690e-01    3.95146009e-01
    2.83000000e+00   -9.35648970e+00    1.46360849e+00    1.13401949e+00    6.68844289e-01    3.94973973e-01
    2.84000000e+00   -9.33214750e+00    1.46274246e+00    1.13337420e+00    6.68757885e-01    3.94785474e-01
    2.85000000e+00   -9.30788544e+00    1.46185659e+00    1.13271408e+00    6.68650224e-01    3.94580330e-01
    2.86000000e+00   -9.28370361e+00    1.46095070e+00    1.13203899e+00    6.68521058e-01    3.94358366e-01
    2.87000000e+00   -9.25960210e+00    1.46002459e+00    1.13134879e+00    6.68370142e-01    3.94119410e-01
    2.88000000e+00   -9.23558101e+00    1.45907810e+00    1.13064336e+00    6.68197239e-01    3.93863298e-01
    2.89000000e+00   -9.21164043e+00    1.45811105e+00    1.12992257e+00    6.68002119e-01    3.93589871e-01
    2.90000000e+00   -9.18778044e+00    1.45712328e+00    1.12918632e+00    6.67784558e-01    3.93298975e-01
    2.91000000e+00   -9.16400113e+00    1.45611464e+00    1.12843448e+00    6.67544338e-01    3.92990464e-01
    2.92000000e+00   -9.14030258e+00    1.45508498e+00    1.12766697e+00    6.67281250e-01    3.92664200e-01
    2.93000000e+00   -9.11668485e+00    1.45403416e+00    1.12688369e+00    6.66995094e-01    3.92320050e-01
    2.94000000e+00   -9.09314803e+00    1.45296206e+00    1.12608455e+00    6.66685676e-01    3.91957890e-01
    2.95000000e+00   -9.06969218e+00    1.45186856e+00    1.12526947e+00    6.66352811e-01    3.91577602e-01
    2.96000000e+00   -9.04631737e+00    1.45075353e+00    1.12443838e+00    6.65996324e-01    3.91179078e-01

