# ./dmrgSacc --pbc -N 21 --Vi=2.62 --Vf=2.94 -n 36 
#            V (t)        energy (t)          S1(l=21)          S2(l=21)       S1acc(l=21)       S2acc(l=21)
    2.55328985e+00   -1.40455892e+01    1.58977091e+00    1.22325859e+00    7.55641266e-01    4.60106983e-01
    2.56236018e+00   -1.40119085e+01    1.58923033e+00    1.22285014e+00    7.55994794e-01    4.60282580e-01
    2.57143050e+00   -1.39783179e+01    1.58867196e+00    1.22242815e+00    7.56331674e-01    4.60444373e-01
    2.58050083e+00   -1.39448176e+01    1.58809542e+00    1.22199230e+00    7.56651484e-01    4.60592025e-01
    2.58957115e+00   -1.39114078e+01    1.58750033e+00    1.22154230e+00    7.56953797e-01    4.60725198e-01
    2.59864148e+00   -1.38780886e+01    1.58688631e+00    1.22107785e+00    7.57238182e-01    4.60843551e-01
    2.60771180e+00   -1.38448603e+01    1.58625297e+00    1.22059865e+00    7.57504205e-01    4.60946739e-01
    2.62000000e+00   -1.37999889e+01    1.58536342e+00    1.21992536e+00    7.57834536e-01    4.61061728e-01
    2.62914286e+00   -1.37667117e+01    1.58467751e+00    1.21940603e+00    7.58057278e-01    4.61128298e-01
    2.63828571e+00   -1.37335274e+01    1.58397065e+00    1.21887066e+00    7.58259860e-01    4.61178268e-01
    2.64742857e+00   -1.37004363e+01    1.58324242e+00    1.21831896e+00    7.58441826e-01    4.61211280e-01
    2.65657142e+00   -1.36674386e+01    1.58249244e+00    1.21775059e+00    7.58602719e-01    4.61226970e-01
    2.66571428e+00   -1.36345344e+01    1.58172031e+00    1.21716527e+00    7.58742082e-01    4.61224979e-01
    2.67485713e+00   -1.36017239e+01    1.58092563e+00    1.21656267e+00    7.58859458e-01    4.61204945e-01
    2.68399999e+00   -1.35690073e+01    1.58010801e+00    1.21594249e+00    7.58954387e-01    4.61166507e-01
    2.69314285e+00   -1.35363849e+01    1.57926707e+00    1.21530443e+00    7.59026413e-01    4.61109307e-01
    2.70228571e+00   -1.35038567e+01    1.57840241e+00    1.21464819e+00    7.59075081e-01    4.61032987e-01
    2.71142856e+00   -1.34714230e+01    1.57751366e+00    1.21397347e+00    7.59099935e-01    4.60937190e-01
    2.72057142e+00   -1.34390840e+01    1.57660044e+00    1.21327997e+00    7.59100525e-01    4.60821564e-01
    2.72971428e+00   -1.34068398e+01    1.57566239e+00    1.21256740e+00    7.59076402e-01    4.60685760e-01
    2.73885714e+00   -1.33746906e+01    1.57469912e+00    1.21183550e+00    7.59027121e-01    4.60529431e-01
    2.74799999e+00   -1.33426366e+01    1.57371030e+00    1.21108396e+00    7.58952242e-01    4.60352237e-01
    2.75714285e+00   -1.33106780e+01    1.57269556e+00    1.21031253e+00    7.58851328e-01    4.60153840e-01
    2.76628571e+00   -1.32788150e+01    1.57165456e+00    1.20952094e+00    7.58723950e-01    4.59933911e-01
    2.77542857e+00   -1.32470477e+01    1.57058696e+00    1.20870893e+00    7.58569685e-01    4.59692125e-01
    2.78457142e+00   -1.32153762e+01    1.56949245e+00    1.20787624e+00    7.58388115e-01    4.59428164e-01
    2.79371428e+00   -1.31838008e+01    1.56837070e+00    1.20702265e+00    7.58178834e-01    4.59141720e-01
    2.80285714e+00   -1.31523216e+01    1.56722140e+00    1.20614792e+00    7.57941438e-01    4.58832490e-01
    2.81200000e+00   -1.31209388e+01    1.56604427e+00    1.20525183e+00    7.57675539e-01    4.58500183e-01
    2.82114285e+00   -1.30896525e+01    1.56483903e+00    1.20433416e+00    7.57380755e-01    4.58144515e-01
    2.83028571e+00   -1.30584629e+01    1.56360539e+00    1.20339472e+00    7.57056715e-01    4.57765214e-01
    2.83942857e+00   -1.30273701e+01    1.56234310e+00    1.20243332e+00    7.56703061e-01    4.57362018e-01
    2.84857143e+00   -1.29963743e+01    1.56105192e+00    1.20144978e+00    7.56319446e-01    4.56934679e-01
    2.85771428e+00   -1.29654756e+01    1.55973163e+00    1.20044394e+00    7.55905536e-01    4.56482957e-01


