# ./dmrgSacc --pbc -N 25 --Vi=2.62 --Vf=2.94 -n 33 
#            V (t)        energy (t)          S1(l=25)          S2(l=25)       S1acc(l=25)       S2acc(l=25)
    2.52600000e+00   -1.68275970e+01    1.64774591e+00    1.26445691e+00    8.02101404e-01    4.93850800e-01
    2.53462000e+00   -1.67891836e+01    1.64718105e+00    1.26402767e+00    8.02474285e-01    4.94053771e-01
    2.54324000e+00   -1.67508672e+01    1.64659678e+00    1.26358352e+00    8.02829770e-01    4.94242162e-01
    2.55186000e+00   -1.67126482e+01    1.64599264e+00    1.26312411e+00    8.03167365e-01    4.94415572e-01
    2.56048000e+00   -1.66745266e+01    1.64536817e+00    1.26264906e+00    8.03486566e-01    4.94573594e-01
    2.56910000e+00   -1.66365028e+01    1.64472291e+00    1.26215801e+00    8.03786867e-01    4.94715817e-01
    2.57772000e+00   -1.65985769e+01    1.64405638e+00    1.26165060e+00    8.04067755e-01    4.94841826e-01
    2.58634000e+00   -1.65607491e+01    1.64336813e+00    1.26112644e+00    8.04328711e-01    4.94951201e-01
    2.59496000e+00   -1.65230196e+01    1.64265768e+00    1.26058517e+00    8.04569211e-01    4.95043517e-01
    2.60358000e+00   -1.64853888e+01    1.64192455e+00    1.26002641e+00    8.04788729e-01    4.95118348e-01
    2.61220000e+00   -1.64478567e+01    1.64116827e+00    1.25944978e+00    8.04986733e-01    4.95175264e-01
    2.62000000e+00   -1.64139803e+01    1.64046359e+00    1.25891229e+00    8.05146913e-01    4.95210964e-01
    2.63000000e+00   -1.63706679e+01    1.63953129e+00    1.25820091e+00    8.05325224e-01    4.95234241e-01
    2.64000000e+00   -1.63274893e+01    1.63856588e+00    1.25746392e+00    8.05472363e-01    4.95231613e-01
    2.65000000e+00   -1.62844449e+01    1.63756662e+00    1.25670075e+00    8.05587484e-01    4.95202398e-01
    2.66000000e+00   -1.62415350e+01    1.63653278e+00    1.25591082e+00    8.05669740e-01    4.95145912e-01
    2.67000000e+00   -1.61987600e+01    1.63546362e+00    1.25509354e+00    8.05718283e-01    4.95061473e-01
    2.68000000e+00   -1.61561202e+01    1.63435842e+00    1.25424834e+00    8.05732267e-01    4.94948401e-01
    2.69000000e+00   -1.61136159e+01    1.63321648e+00    1.25337466e+00    8.05710847e-01    4.94806019e-01
    2.70000000e+00   -1.60712474e+01    1.63203708e+00    1.25247194e+00    8.05653185e-01    4.94633655e-01
    2.71000000e+00   -1.60290151e+01    1.63081954e+00    1.25153963e+00    8.05558449e-01    4.94430646e-01
    2.72000000e+00   -1.59869193e+01    1.62956318e+00    1.25057721e+00    8.05425814e-01    4.94196335e-01
    2.73000000e+00   -1.59449604e+01    1.62826732e+00    1.24958414e+00    8.05254464e-01    4.93930075e-01
    2.74000000e+00   -1.59031385e+01    1.62693134e+00    1.24855994e+00    8.05043595e-01    4.93631233e-01
    2.75000000e+00   -1.58614541e+01    1.62555459e+00    1.24750410e+00    8.04792418e-01    4.93299189e-01
    2.76000000e+00   -1.58199074e+01    1.62413647e+00    1.24641615e+00    8.04500158e-01    4.92933336e-01
    2.77000000e+00   -1.57784988e+01    1.62267639e+00    1.24529565e+00    8.04166058e-01    4.92533088e-01
    2.78000000e+00   -1.57372285e+01    1.62117381e+00    1.24414217e+00    8.03789381e-01    4.92097877e-01
    2.79000000e+00   -1.56960969e+01    1.61962817e+00    1.24295530e+00    8.03369409e-01    4.91627154e-01
    2.80000000e+00   -1.56551041e+01    1.61803898e+00    1.24173467e+00    8.02905451e-01    4.91120396e-01
    2.81000000e+00   -1.56142506e+01    1.61640576e+00    1.24047992e+00    8.02396838e-01    4.90577104e-01



