# M=26, N=13, max=1, PBC
# U/t                  E0/t                S1(l=13)             S1_OP(l=13)          S2.0(l=13)           S2.0_OP(l=13)        Sigma2_n(l=13)       H(2.0)              S(2.0)_OP(5) 
  -0.030000000019365026 -16.708339270938048 1.4310966160231926  0.4146739563066376  1.120455540586017   0.22513254456334336 0.4474270079382734  0.8866397234976129  0.22490185620514344 
  -0.0332441058799503  -16.720905665940364 1.4310978909259524  0.41434554355836106 1.1205027942442076  0.2249117819534015  0.44772066214301276 0.886913517672953   0.22468166845293058 
  -0.03683901916813193 -16.734839070733102 1.431099459642866   0.4139813201799956  1.120555500816213   0.22466700664369083 0.44804670945290326 0.8872174342742439  0.22443753029651545 
  -0.04082267509827882 -16.750289167267088 1.4311013903166203  0.4135773444584028  1.1206143298102502  0.22439558926169711 0.4484088017026693  0.8875548504893116  0.22416681912421632 
  -0.045237111079799136 -16.767422249667746 1.4311037670520246  0.41312923208526464 1.120680041940137   0.22409460836770775 0.44881102071757795 0.8879295369014213  0.22386662098462953 
  -0.05012891031563893 -16.786423118676474 1.431106693713546   0.4126321043541324  1.120753503499751   0.22376081698976483 0.4492579335233913  0.8883457067980417  0.22353369721138314 
  -0.05554969337013041 -16.807497203649103 1.4311102986481157  0.41208052979028603 1.1208357034046077  0.22339060509688086 0.4497546552042877  0.8888080724530747  0.22316444697221147 
  -0.061556662893444754 -16.830872942026037 1.4311147405667923  0.4114684582317906  1.1209277734747387  0.22297995740682697 0.4503069215929685  0.8893219096040659  0.2227548651798639  
  -0.06821320725083786 -16.85680445067793  1.4311202158810774  0.4107891462398144  1.121031012672944   0.22252440590379863 0.4509211729037901  0.8898931315194296  0.22230049510797617 
  -0.07558956942646847 -16.88557452882244  1.4311269678692815  0.4100350724775797  1.121146916189891   0.22201897626759406 0.45160465090619795 0.890528374409574   0.2217963749398783  
  -0.08376358826037628 -16.917498038446173 1.4311352981516454  0.409197841455847   1.1212772104945825  0.22145812732158657 0.4523655118567049  0.8912350962734601  0.22123697733775097 
  -0.09282151984050067 -16.95292571557059  1.4311455810862617  0.4082680737036869  1.1214238957598877  0.22083568240469587 0.4532129585604281  0.8920216917791322  0.2206161409456158  
