# M=30, N=15, max=1, PBC
# U/t                  E0/t                S1(l=15)             S1_OP(l=15)          S2.0(l=15)           S2.0_OP(l=15)        Sigma2_n(l=15)       H(2.0)              S(2.0)_OP(5) 
   0.7928168485370364    -15.834913672543845  1.4815701374937915   0.52495296890401     1.1489754238231034   0.3000272120990678   0.3973769047556672   0.8390371165602637   0.2996429152034319
  0.9928168485370364    -15.072306749551647  1.482942767612096    0.5428577351888607   1.1492733805203894   0.3127705918785896   0.3846367565940412   0.8266857534389352   0.3123623300030458   
  1.0805946263148143    -14.746197816408685  1.4835908767605546   0.5506237554258031   1.149526683020807    0.3183073159040467   0.379292610474387    0.8214802375092276   0.31789073128073586  
 1.0928168485370364    -14.701204091661417  1.4836828032533185   0.551701139046765    1.1495669524026513   0.31907548441854283  0.3785593661823867   0.8207649600852694   0.3186578575399539   
  1.1139279596481475    -14.62372561763997   1.4838424180412217   0.5535598860307778   1.1496391631814928   0.32040069374679814  0.37729888207186946  0.8195347837905415   0.3199813360552517   
  1.1350390707592586    -14.546548405510002  1.4840030049857276   0.5554159066944273   1.1497146060370813   0.3217238165023746   0.37604590573543817  0.8183112191769825   0.32130281724786103  
  1.1561501818703697    -14.469672293096817  1.4841644646982932   0.5572692494993781   1.1497931272044686   0.3230448189565439   0.3748002900852043   0.8170941456320834   0.3226222688589283   
  1.168372404092592     -14.425302634681213  1.4842582998197547   0.5583410306470185   1.1498399325048854   0.32380862581242265  0.37408245171175736  0.8163924442808712   0.32338521989196894  
  1.2561501818703698    -14.109609558387715  1.484937845557479    0.5660130051067872   1.1502020422555073   0.32927206983926594  0.368995700863735    0.8114136974415483   0.3288434498218029    
  1.4561501818703697    -13.409716257674713  1.4864824586358962   0.5833293459288361   1.1511436709429241   0.34155458951377415  0.357816018856731    0.8004349796545641   0.34112060343546424  
  1.6561501818703697    -12.73685144460413   1.4878951880886528   0.6003834970385269   1.1521033206682136   0.35352819698789384  0.34712719260388525  0.7898968527095452   0.3530986907697412   
  1.7439279596481474    -12.45012111818009   1.4884152161921282   0.6077548169068571   1.1524727127784682   0.3586460147318725   0.3425693826675129   0.7853924958257262   0.3582217885585198   
  1.7561501818703698    -12.410614206915206  1.488480386516519    0.6087740769224634   1.152519496458789    0.35935028192338486  0.3419406563663685   0.7847706772417389   0.35892695616432907  
  1.7772612929814808    -12.342616084397935  1.4885880974817935   0.6105299937264088   1.1525970426910495   0.36056144701389936  0.3408579621378536   0.7836996228104695   0.3601397725791431   
  1.798372404092592     -12.27492375844806   1.4886892265409388   0.612279715782965    1.1526700985759832   0.3617655920291255   0.33977937246611845  0.782632312063362    0.3613456910924164   
  1.819483515203703     -12.207537738712235  1.4887832460682284   0.6140228206022942   1.1527382296298292   0.3629623349415019   0.3387048202529712   0.7815686880156509   0.36254433020344967  
  1.8317057374259254    -12.16866499061254   1.488834210845095    0.6150287843191791   1.1527752450973443   0.3636516445705601   0.33808453124802895  0.7809545693269317   0.36323479391071284  
  1.919483515203703     -11.892519737491867  1.4891140179423192   0.6221747719339197   1.1529795272803587   0.3685174483300394   0.33366783996886795  0.7765789940566289   0.3681101067833733   
  2.119483515203703     -11.283414475524388  1.4889543809864425   0.6377342070576959   1.1528610298315094   0.37887770887365957  0.3238407809504835   0.766827188845577    0.3785001180841317  
  2.319483515203703     -10.702808507368777  1.4869679844732433   0.6516030606233006   1.1513883248331713   0.38768714775898466  0.31433026958184485  0.7573711807738652   0.3873504700985799   
  2.407261292981481     -10.457208271675235  1.4852084504494323   0.6568426269650338   1.150082958649068    0.390823486224197    0.3102610174360336   0.7533205689785182   0.39050812289445347  
  2.419483515203703     -10.423464475379767  1.484908852351438    0.6575190080876233   1.1498606528063022   0.39121563518191826  0.3096998996993463   0.7527618234899732   0.39090339154862297  
  2.440594626314814     -10.36544282241726   1.4843568639638915   0.6586534092194677   1.1494510387977273   0.3918648542758051   0.3087339990018023   0.7517998986179921   0.3915580829963855   
  2.4617057374259255    -10.307755493127729  1.4837593464952992   0.6597429053361894   1.1490075913700997   0.39247695294406676  0.30777237619851405  0.7508421010909905   0.3921757577021332   
  2.4828168485370368    -10.25040375569505   1.4831141260056822   0.6607851373973526   1.148528682368401    0.39305015009992067  0.30681514902529017  0.7498885529441286   0.3927546314728599   
  2.4950390707592587    -10.217354006834764  1.482717902273794    0.6613659811982167   1.148234557281612    0.39336350279537796  0.3062630233936616   0.7493384920761583   0.39307131527673117  
  2.5828168485370364    -9.983336563149686   1.4793406134738207   0.665004005602609    1.145726465586362    0.3951795171115077   0.3023447676329596   0.745433735482101    0.3949121415583181 
  2.73 -9.604295551202666 1.4712236485318857 0.6685974918473241 1.1396905441303966 0.39620848143023707 0.29598562776241977 -1 -1
  2.735 -9.591716894374766 1.4708861782211928 0.6686555061205184 1.1394393719840046 0.3961924074549601 0.29577486969260747 -1 -1
  2.74 -9.579157976741836 1.470544325951042 0.668708925801482 1.1391849225401904 0.39617269416268885 0.2955644881982309 -1 -1
  2.745 -9.566618813573095 1.4701980616999977 0.6687577146863464 1.1389271731560504 0.3961493148686995 0.295354486297434 -1 -1
  2.75 -9.55409942003133 1.4698473556385963 0.6688018366991282 1.1386661013474018 0.3961222430159831 0.29514486708352905 -1 -1
  2.755 -9.54159981116993 1.469492178138587 0.6688412559006309 1.1384016847968312 0.3960914521813332 0.29493563378429144 -1 -1
  2.76 -9.529120001929673 1.4691324997825408 0.6688759365056467 1.1381339013620222 0.3960569161026294 0.2947267893292249 -1 -1
  2.765 -9.51666000713545 1.4687682913732445 0.668905842882808 1.137862729083784 0.396018608662449 0.29451833693183005 -1 -1
  2.77 -9.504219841493082 1.468399523943119 0.6689309395702463 1.1375881461944213 0.39597650391001343 0.29431027978758806 -1 -1
  2.775 -9.49179951958602 1.4680261687640686 0.668951191286794 1.1373101311261833 0.39593057607361465 0.2941026209916373 -1 -1
  2.78 -9.479399055872197 1.4676481973570141 0.6689665629395055 1.1370286625195476 0.3958807995622732 0.2938953637073638 -1 -1
  2.7828168485370366    -9.472421760758042   1.4674332162029424   0.6689730606518497   1.1368685628073518   0.39585105254280106  0.2937787793714861   0.7368909185195704   0.3956444347145506 
  2.785 -9.46701846468059 1.4672655815015345 0.6689770196313578 1.1367437192317642 0.39582714896824234 0.29368851132271345 -1 -1
  2.787 -9.462071795694795 1.467111228443334 0.6689798183448976 1.1366287643126727 0.39580459834170933 0.29360588432899704 -1 -1
  2.788 -9.459599654687796 1.4670337710136079 0.6689809200304995 1.1365710767008836 0.3957930885678286 0.293564595420321 -1 -1
  2.789 -9.457128309488139 1.466956126021429 0.6689818229021071 1.136513248766839 0.3957814222229853 0.2935233228737957 -1 -1
  2.79 -9.454657760208082 1.4668782932458455 0.6689825266834626 1.1364552803454504 0.39576959910544945 0.2934820667658329 -1 -1
