# M = 12, N = 6, V/t = 1.5, alpha=2 
# n   P_(n)^(alpha)            P_(n,alpha) 
  0   2.5568577560483401584108216979530398370332482615581164384152047279435141554118698540368397702456120625359257508768922505556171124e-18 3.3586007096036604389773243639212460194706462397779408402591765670062451154619339007608503246485958352206212899633006063549227744e-18 
  1   1.9825435160880363004723753575032681952603489121200632223917728708744553679151854750139981460711274616985449800735299673420638706e-07 2.5642249647694340005941085368013888854842063641689621915056070377407374850459207246908469709398734057377383659881977263679697625e-07 
  2   3.4324810644749022348298837349780126718836956166411402712608272297832484381313769713001207681574924585005392852037509694366796141e-02 4.1053874049448457171681433707093068225612449130649426098259998050927182061855602453099086261203972236599412933011601857715232066e-02 
  3   9.3134998220179874632757449579665623804959351214922380450534705454670894891045211010630487553256917936269130681529360009442902715e-01 9.1789173905611014128500181961198827308694871727230056939739767893410195546314204922362451866960952854872475876124339094782696472e-01 
  4   3.432481064474900860308654111068321161207293113531311357003233662625276920220202551308901788650287246386445092941326788364051067e-02 4.1053874049448440939574607167931972803409094286743864009818647824524527281454617482232328163682655273943056206349019835372199566e-02 
  5   1.9825435160880369456640879251832468832452629860765818274026667188672720511757462953020732868904378673945165480833840325242359286e-07 2.5642249647694314066089498047680858327476173628010656077313174141032858895347676082362717760454350471006792831912539827368860022e-07 
  6   2.5568577560482119965571670520348220225142590955271303849180854576309137118803398733950661698514907441002379285260022501231918953e-18 3.3586007096034920899592335522066874240210975117200603105320337057659656587316952446490371636090352341932934033734769191216207993e-18 
