# M=28, N=[1,14], max=1, PBC
# U/t                  E0/t                S1(l=0)             S1_OP(l=0)          S2.0(l=0)           S2.0_OP(l=0)        Sigma2_n(l=0)       H(2.0)              S(2.0)_OP(5) 
  100.0                 -2.0                 0.15407610367102906  -4.2822888092684625e-16 0.07136448620796995  -8.564577618536919e-16 0.0344387755102041   0.07136448620797067  -1.3322676295501875e-15 
  100.0                 -3.970922968847517   0.41354295776803235  0.0034261943027164643 0.28109752500192364  0.0010353388427683137 0.12244904071815933  0.2809023392086405   0.001033732338981829 
  100.0                 -5.874913038888722   0.6680569845707519   0.036474037774887225 0.5816196032039335   0.01542613601459614  0.21921245730272276  0.5730262236076982   0.015300273340401556 
  100.0                 -7.663427178639041   0.8804888162764545   0.139447679973989    0.7840291747902589   0.07476549550063384  0.26742446883379617  0.7034503083731092   0.07362233898820657  
  100.0                 -9.275169151065693   1.046447522130208    0.2871063522866734   0.7779848421764258   0.17212030954880267  0.264623736388071    0.5657281290066571   0.16973871818609548  
  100.0                 -10.634063245805432  1.1756251909752342   0.38808590992754044  0.9098367539657368   0.22419034696874385  0.28455450551158057  0.6672292735074146   0.22332794529819425  
  100.0                 -11.647683378870292  1.279655765011708    0.49160418813207135  0.9828770262317725   0.2982343043118868   0.2837606831629169   0.6496239674740956   0.29567253661260856  
  100.0                 -12.206945928417086  1.366217146835701    0.5799808406662635   1.0535903535198852   0.3583911832411613   0.28388569647065776  0.666568485167065    0.3563464797035747   
  100.0                 -12.188568602481052  1.4388783964731044   0.6803323869373409   1.0803481829571648   0.4496237551572319   0.26369554060171474  0.5620749412983186   0.44265854225291995  
  100.0                 -11.462995220432258  1.4980596304510962   0.7353432390756087   1.194476429987698    0.47459164015908123  0.27534093960919037  0.7083899956583597   0.47313887904234375  
  100.0                 -9.912469873218      1.5397248479844623   0.8084824687210175   1.227399036387732    0.5482056779254038   0.25718945411155403  0.6411369429167182   0.5424477207072077   
  100.0                 -7.466946940673325   1.5500686182406418   0.8926223005950694   1.2438284793369587   0.6718668102225916   0.21264873149334562  0.4690976388461513   0.6502431762156786   
  100.0                 -4.169068840277119   1.4731249035733542   0.925069814739327    1.215461380903442    0.7656321557856414   0.1593567956001536   0.3311781192676998   0.7347258855658721   
  100.0                 -0.27997200000027034 0.6951898114929922   0.6931477634014054   0.6935472605852762   0.6931472405836913   0.0002000000065720542 0.0004000200015203577 0.6931472405839424   
