# M = 10, N = 5, V/t = 1.0, alpha=2 
# n   P_(n)^(alpha)            P_(n,alpha) 
  0   5.8744978467003501756498206926094380193774239627797218631096997522687978152007280627377101075114630746484275418391162243903670007343019072855448893491571e-12 6.855996427625922328957867969125079022449264923657634316834153207382479116650610911685347005952864834465427072787010033340199285786485231207223974437052e-12 
  1   4.5095149686757532617994075409220632144526156101584317800996863735874193872322459770120629874417011721257041211492806254876388086006584557829611148966718e-04 5.1453745905149335556972833223135393949703417959473576225871639867683089303168725349720917146795344547277443837784662390588916796611501731500312540243048e-04 
  2   4.9954904849725798390109980959182871436700947706461102675937574107839999289620123125254384784869723984266210482836145219218289754253945798638999999577872e-01 4.9948546253409240680204661843056778101013244719992385831433268731949486974022279028954412878574955415003871723612446341947413465668048747870737596860035e-01 
  3   4.9954904849725786964586375419632642168813217519914654753740558234710569569220404136223475070552909448524102584065394534657733440222790262156082974773808e-01 4.9948546253409261422143373928463934973772308698834890284101609623407382350987895054173105310754240217621785708551533461663604521623642346444058249304572e-01 
  4   4.5095149686757543345579510645301623819421013647173459964926421091616996833390715711873902155407533986137276957281931501277172559183954500227033042241417e-04 5.1453745905149276569806929464577937439727358723397323507723141408616944210161368192638711186939621636492157105150119440991089243657546796406795053723487e-04 
  5   5.8744978467003501756498206926094380193774239627797218631096997522687978152007280627377101075114630746484275418391162243903670007343019072855448893491571e-12 6.855996427625922328957867969125079022449264923657634316834153207382479116650610911685347005952864834465427072787010033340199285786485231207223974437052e-12 
