# M = 10, N = 5, V/t = -1.0, alpha=2 
# n   P_(n)^(alpha)            P_(n,alpha) 
  0   6.4151857024846479088686419856251517589256192269719032184417465216578380659977129976661667030193169830134285795884774658876346698260789832470904901481641e-08 6.7954631699739982725713551598714979096835068020120942371054884824787059551500019748185990870502652571383630269425425089319574932964064986628151263151468e-08 
  1   4.8055190945693920282831253725690746145531510649684796847932790755074514526191212925421958804227485962663171311508787350273879501271467775103523799570782e-03 5.0030715954367494353045647616372475926622004513686644217705928988568135069261918469518118407240659642745253341305764969568231638617379635879929764346208e-03 
  2   4.9519441675357364353852041127384909466729667483090632520579241476154326986084379956238648900612943299041872767702766562752651930506162191927187143021829e-01 4.9499686044993095190818701079284371437617237422941410333375356223335611110620329355796457467160021078240429232743252056424602942969167449024678446771272e-01 
  3   4.9519441675357352271195516060817304360056184452677217598655665825251139407715663789826916590969100943070897779209898513286938704199068800412775886805769e-01 4.9499686044993214973943244390384472315259887471047395564565524025899140336140671136057529526296312655881109480434267822563178540036074945943606604476197e-01 
  4   4.8055190945693920282831253725690746145531510649684796847932790755074514526191212925421958804227485962663171311508787350273879501271467775103523799570782e-03 5.0030715954367494371105291145711174486083569386072363569358624990260224513447002344688218527308556892049447668336858623151833669359721585991832547883111e-03 
  5   6.4151857024846479088686419856251517589256192269719032184417465216578380659977129976661667030193169830134285795884774658876346698260789832470904901481641e-08 6.7954631699739982725713551598714979096835068020120942371054884824787059551500019748185990870502652571383630269425425089319574932964064986628151263151468e-08 
