# M = 12, N = 6, V/t = 1.5, alpha=2 
# n   P_(n)^(alpha)            P_(n,alpha) 
  0   2.5568577560483401584108216979530398370332482615581164384152047279435141554118698540368397702456120625359257508768922505556171119072504230992484174834449e-18 3.3586007096036599338820665355628804220552658822851621781906047604972633528353740079193725132744418883216861690587314350017854259194607579626775330898911e-18 
  1   1.9825435160880363004723753575032681952603489121200632223917728708744553679151854750139981460711274616985449800735299673420638702531538621640192152755649e-07 2.5642249647694337189313971479356178167658626423369805539004723818976263178559608975644316966538744285560860012633404536363398550268453819991941405517278e-07 
  2   3.432481064474902234829883734978012671883695616641140271260827229783248438131376971300120768157492458500539285203750969436679613810820007432582451167539e-02 4.1053874049448444227399594796995397945920049198844271327983444157927208892718409952412050328199975479945732912484618944708033714253505671399364609307785e-02 
  3   9.3134998220179874632757449579665623804959351214922380450534705454670894891045211010630487553256917936269130681529360009442902715993592794526703202768173e-01 9.1789173905611016776029963379897142450604597155299865181710767311031972922980824698351887546540010439200085102507721406020056525781959363657030989502237e-01 
  4   3.4324810644749008603086541110683211612072931135313113570032336626252769202202025513089017886502872463864450929413267883640510669081515963489041514778926e-02 4.1053874049448427408662702983809464493831896236139458539165931598064185592802973622364267417699890723564363075554611928653232287864987523562114450311042e-02 
  5   1.9825435160880369456640879251832468832452629860765818274026667188672720511757462953020732868904378673945165480833840325242359283002272287775735882209137e-07 2.5642249647694306475607335740074637814698923336285715559222843909930736222476011811604989818934643154090335696473491244348773031028930185511858945602719e-07 
  6   2.5568577560482119965571670520348220225142590955271303849180854576309137118803398733950661698514907441002379285260022501231918958793331586836925621545829e-18 3.3586007096034915848639757238736395997052660865728494090240715985882335814602581667512421432004845756757941925596146651928427300878945416069987447268349e-18 
