# ./dmrgSacc --pbc -N 17 --Vi=2.62 --Vf=2.95 -n 36 
#            V (t)        energy (t)          S1(l=17)          S2(l=17)       S1acc(l=17)       S2acc(l=17)
    2.58825566e+00   -1.12834063e+01    1.51960023e+00    1.17380712e+00    6.99312752e-01    4.19356891e-01
    2.59789919e+00   -1.12547190e+01    1.51909244e+00    1.17342706e+00    6.99640218e-01    4.19500799e-01
    2.60754273e+00   -1.12261138e+01    1.51856886e+00    1.17303511e+00    6.99952052e-01    4.19631990e-01
    2.62000000e+00   -1.11892839e+01    1.51786865e+00    1.17251082e+00    7.00331178e-01    4.19782210e-01
    2.62942857e+00   -1.11614998e+01    1.51732042e+00    1.17210025e+00    7.00599957e-01    4.19881161e-01
    2.63885714e+00   -1.11337946e+01    1.51675615e+00    1.17167759e+00    7.00852724e-01    4.19967135e-01
    2.64828571e+00   -1.11061685e+01    1.51617557e+00    1.17124262e+00    7.01089155e-01    4.20039882e-01
    2.65771429e+00   -1.10786215e+01    1.51557838e+00    1.17079514e+00    7.01308929e-01    4.20099156e-01
    2.66714286e+00   -1.10511538e+01    1.51496431e+00    1.17033492e+00    7.01511720e-01    4.20144707e-01
    2.67657143e+00   -1.10237657e+01    1.51433308e+00    1.16986175e+00    7.01697204e-01    4.20176288e-01
    2.68600000e+00   -1.09964571e+01    1.51368442e+00    1.16937542e+00    7.01865058e-01    4.20193650e-01
    2.69542857e+00   -1.09692283e+01    1.51301804e+00    1.16887572e+00    7.02014956e-01    4.20196546e-01
    2.70485714e+00   -1.09420794e+01    1.51233367e+00    1.16836243e+00    7.02146574e-01    4.20184730e-01
    2.71428571e+00   -1.09150105e+01    1.51163104e+00    1.16783535e+00    7.02259590e-01    4.20157954e-01
    2.72371428e+00   -1.08880218e+01    1.51090988e+00    1.16729427e+00    7.02353683e-01    4.20115976e-01
    2.73314285e+00   -1.08611134e+01    1.51016992e+00    1.16673898e+00    7.02428531e-01    4.20058551e-01
    2.74257143e+00   -1.08342854e+01    1.50941090e+00    1.16616929e+00    7.02483816e-01    4.19985440e-01
    2.75200000e+00   -1.08075380e+01    1.50863255e+00    1.16558499e+00    7.02519223e-01    4.19896403e-01
    2.76142857e+00   -1.07808712e+01    1.50783463e+00    1.16498589e+00    7.02534438e-01    4.19791206e-01
    2.77085714e+00   -1.07542853e+01    1.50701687e+00    1.16437180e+00    7.02529150e-01    4.19669615e-01
    2.78028571e+00   -1.07277804e+01    1.50617904e+00    1.16374252e+00    7.02503052e-01    4.19531401e-01
    2.78971428e+00   -1.07013565e+01    1.50532088e+00    1.16309788e+00    7.02455840e-01    4.19376336e-01
    2.79914286e+00   -1.06750138e+01    1.50444216e+00    1.16243769e+00    7.02387215e-01    4.19204200e-01
    2.80857143e+00   -1.06487524e+01    1.50354264e+00    1.16176178e+00    7.02296882e-01    4.19014775e-01
    2.81800000e+00   -1.06225725e+01    1.50262210e+00    1.16106998e+00    7.02184551e-01    4.18807847e-01
    2.82742857e+00   -1.05964741e+01    1.50168033e+00    1.16036213e+00    7.02049937e-01    4.18583209e-01
    2.83685714e+00   -1.05704573e+01    1.50071710e+00    1.15963806e+00    7.01892760e-01    4.18340658e-01
    2.84628572e+00   -1.05445224e+01    1.49973221e+00    1.15889763e+00    7.01712750e-01    4.18079997e-01
    2.85571429e+00   -1.05186693e+01    1.49872546e+00    1.15814069e+00    7.01509638e-01    4.17801036e-01
    2.86514286e+00   -1.04928982e+01    1.49769667e+00    1.15736710e+00    7.01283165e-01    4.17503590e-01
    2.87457143e+00   -1.04672091e+01    1.49664564e+00    1.15657673e+00    7.01033080e-01    4.17187484e-01
    2.88400000e+00   -1.04416023e+01    1.49557221e+00    1.15576945e+00    7.00759138e-01    4.16852545e-01
    2.89342857e+00   -1.04160777e+01    1.49447621e+00    1.15494516e+00    7.00461103e-01    4.16498613e-01
    2.90285714e+00   -1.03906355e+01    1.49335748e+00    1.15410373e+00    7.00138747e-01    4.16125533e-01
    2.91228571e+00   -1.03652757e+01    1.49221589e+00    1.15324508e+00    6.99791852e-01    4.15733159e-01
    2.92171429e+00   -1.03399985e+01    1.49105128e+00    1.15236910e+00    6.99420208e-01    4.15321354e-01


