# M=28, N=[1,14], max=1, PBC
# U/t                  E0/t                S1(l=14)             S1_OP(l=14)          S2.0(l=14)           S2.0_OP(l=14)        Sigma2_n(l=14)       H(2.0)              S(2.0)_OP(5) 
  -1.5                  -2.0                 0.6931471805599452   2.2204460492503146e-16 0.6931471805599444   4.44089209850063e-16 0.25                 0.693147180559944    -8.88178419700125e-16 
  -1.5                  -3.982705550811497   0.9568616632428224   0.06774006140763844  0.7623998551816824   0.02806740177056864  0.3492947215137032   0.7248014096571991   0.027961455419920067 
  -1.5                  -5.940053784719975   1.1032157660904682   0.1080389281263795   0.9208586273392947   0.045279641349712386 0.4295609754179357   0.8716040988642344   0.04522873906297883  
  -1.5                  -7.867303485703244   1.2014290776736476   0.13568206676454428  0.9764584454683126   0.05857931068158006  0.49385554892423045  0.9120378524999965   0.058530698953691715 
  -1.5                  -9.761145369465227   1.2736375080799653   0.1561618229357848   1.0498164812990103   0.06898275561950876  0.5475176474210546   0.9767540420468592   0.06894440876178962  
  -1.5                  -11.619047559320677  1.3291654088564262   0.17218416917344415  1.0878674276468934   0.07740434222221464  0.5924167126743072   1.005859826126526    0.07736985964589958  
  -1.5                  -13.438983278457808  1.37280177596365     0.1849821482021364   1.1302508828741633   0.08426659484866918  0.6300546547985899   1.0421474684868008   0.08423599338629083  
  -1.5                  -15.219297679324995  1.4073473522266728   0.1952701192372785   1.1553846396349376   0.08986205228042661  0.6613365048336668   1.0614757003825326   0.08983373480745621  
  -1.5                  -16.95863445638068   1.434572616192264    0.20348126388005114  1.1814824610269903   0.0943731900485381   0.6869482365353647   1.0834778546707624   0.09434680168669415  
  -1.5                  -18.65589194736476   1.4556488399584568   0.2099052103528163   1.196895780066394    0.09792927207005533  0.7073597327291417   1.0952078884204357   0.09790414891677364  
  -1.5                  -20.310195451474563  1.471367189326063    0.2147351840145474   1.2122726860523922   0.10061758030296584  0.7229225572760427   1.1081557931623403   0.1005934489254453   
  -1.5                  -21.92087927281283   1.4822595136640022   0.21810276490114675  1.219714418711559    0.10249926100500595  0.7338769548337396   1.1136009935853743   0.10247573408424665  
  -1.5                  -23.487475045446594  1.4886676627190993   0.2200917149678876   1.2268037954740763   0.10361329121377312  0.7403885267036685   1.1197546677526389   0.10359015731043249  
  -1.5                  -25.009704421138657  1.4907831419216027   0.2207497414011725   1.227016823837405    0.10398234218819138  0.7425481839402721   1.119464695344004    0.10395930419111717  
