# ./dmrgSacc --pbc -N 49 --Vi=2.5039 --Vf=2.7929 -n 33 
#            V (t)        energy (t)          S1(l=49)          S2(l=49)       S1acc(l=49)       S2acc(l=49)
    2.50390000e+00   -3.31257057e+01    1.86448271e+00    1.42026323e+00    9.85012280e-01    6.27108083e-01
    2.51293125e+00   -3.30463475e+01    1.86329969e+00    1.41934927e+00    9.85258172e-01    6.27253666e-01
    2.52196250e+00   -3.29672019e+01    1.86206130e+00    1.41839163e+00    9.85457623e-01    6.27360126e-01
    2.53099375e+00   -3.28882697e+01    1.86076564e+00    1.41738876e+00    9.85608616e-01    6.27425734e-01
    2.54002500e+00   -3.28095515e+01    1.85941078e+00    1.41633907e+00    9.85709099e-01    6.27448733e-01
    2.54905625e+00   -3.27310479e+01    1.85799480e+00    1.41524099e+00    9.85756990e-01    6.27427336e-01
    2.55808750e+00   -3.26527598e+01    1.85651577e+00    1.41409293e+00    9.85750182e-01    6.27359735e-01
    2.56711875e+00   -3.25746876e+01    1.85497176e+00    1.41289330e+00    9.85686550e-01    6.27244104e-01
    2.57615000e+00   -3.24968322e+01    1.85336083e+00    1.41164051e+00    9.85563952e-01    6.27078604e-01
    2.58518125e+00   -3.24191941e+01    1.85168108e+00    1.41033300e+00    9.85380235e-01    6.26861387e-01
    2.59421250e+00   -3.23417741e+01    1.84993060e+00    1.40896919e+00    9.85133248e-01    6.26590608e-01
    2.60324375e+00   -3.22645729e+01    1.84810753e+00    1.40754757e+00    9.84820844e-01    6.26264424e-01
    2.61227500e+00   -3.21875910e+01    1.84621003e+00    1.40606663e+00    9.84440885e-01    6.25881008e-01
    2.62130625e+00   -3.21108293e+01    1.84423631e+00    1.40452491e+00    9.83991257e-01    6.25438554e-01
    2.63033750e+00   -3.20342883e+01    1.84218462e+00    1.40292099e+00    9.83469871e-01    6.24935283e-01
    2.63936875e+00   -3.19579688e+01    1.84005328e+00    1.40125353e+00    9.82874678e-01    6.24369457e-01
    2.64840000e+00   -3.18818714e+01    1.83784069e+00    1.39952122e+00    9.82203673e-01    6.23739382e-01
    2.65743125e+00   -3.18059967e+01    1.83554530e+00    1.39772284e+00    9.81454908e-01    6.23043422e-01
    2.66646250e+00   -3.17303455e+01    1.83316567e+00    1.39585726e+00    9.80626500e-01    6.22280003e-01
    2.67549375e+00   -3.16549183e+01    1.83070045e+00    1.39392343e+00    9.79716639e-01    6.21447631e-01
    2.68452500e+00   -3.15797159e+01    1.82814838e+00    1.39192041e+00    9.78723603e-01    6.20544894e-01
    2.69355625e+00   -3.15047388e+01    1.82550836e+00    1.38984734e+00    9.77645764e-01    6.19570476e-01
    2.70258750e+00   -3.14299876e+01    1.82277936e+00    1.38770351e+00    9.76481598e-01    6.18523163e-01
    2.71161875e+00   -3.13554630e+01    1.81996052e+00    1.38548833e+00    9.75229698e-01    6.17401859e-01
    2.72065000e+00   -3.12811655e+01    1.81705112e+00    1.38320133e+00    9.73888780e-01    6.16205589e-01
    2.72968125e+00   -3.12070957e+01    1.81405059e+00    1.38084220e+00    9.72457696e-01    6.14933511e-01
    2.73871250e+00   -3.11332542e+01    1.81095850e+00    1.37841075e+00    9.70935439e-01    6.13584926e-01
    2.74774375e+00   -3.10596415e+01    1.80777460e+00    1.37590697e+00    9.69321156e-01    6.12159282e-01
    2.75677500e+00   -3.09862582e+01    1.80449883e+00    1.37333100e+00    9.67614154e-01    6.10656185e-01
