#P_(8,2,K)^K                     K   

8.84749832873314108599743481679202367595032345305995857109222680267675154485370568210082970014358057662068534649720393508490152336411121547694859953286595735154302895627548507050828416697442124256254738361666730106488002086434040149456289992056810831131396800242842770260916676623529101549146085357468189121449807409925345520111442245936995168396725677569801537169126023556919741732061821516762669896718302485457934707018457759663290032015884955686131654783883095445387733998706362502157078295773558126430099952580807482509865502425664278077765039235736568387254428375580402094651677684508272163303177887126067119452833772930916628149078484051111568573809012843244503716417587090107969514650512139865388336164575197298234271195693434259937292279300464851549460456019933131601654151059452052978397144053313399657589391193350358246503362415884323720203073389813393075956026195419701522686542688787986814028497586422688011323378322673795368274880002517956457907310589852775178884661693504325474160720934844036874806007663423034201773282938902549472758298059200469265273290444776386378553493114751723524441811845102116506738120909642313336713306460965616554525886286426657737465150459056866246814477214736034600792555255092202851615550692598287680270591788163306168703972795187775361415981675117263831846327096133896628181806665210834316602946257213429850961314066864013962922622429668332701980787024336675411232204222101671344895259492609596537987714254196668905159630923630267227860429953890964413123727830626562693356099737901793270670986580377761735024508913888720802741533083735605297520051431103873890716005299212027233306504857412723345856120449869248716242119324723740024989193154461799618553612215684950235182211236309565495952955184302866830611655740030727629941444057465521724945737603822313981346915664439685487569913727413674524961798467869941481045195051602099862718818924033723333881700711080493948251426341634293409300510891228901138709577505252762150378835170236820330056703618511046224576545321274635764154904700456351637062454247264271126072808909261471310182493343676765403842053421340047775929543653951052091784610765865750205008819934803285575425051291961741197855282816393722014465301341408859999346043805818487723086446262159150910253129744764426643255487690018395635009968102411408569196355987528226726334486520676182847004849905156491567996425882664802415662365412287768478724009531952350768348227290802008959908208588568829543393234928003677125627451056871890477032775817388914922783800193494202690837343123407823301178618086104861822663031870735624926461388163889055679472747312312758426776125738259497183438202031395595053201212210672712288790795656912795337624980388746082368132714806721188051548619545537136674600166545121607429427548728428219026263457623117165720159840969761462107930943663176777570088819287122117815770251691234298250132193894888912934748678591761105352577550803429417709713797347585015234787108832160911745287762122523017391361468653659561029737132009789433421936606e-01  2.17341 
 8.42612535714833777904225774020880537379634303480725161046714801511919299879775056548722343069606307260801181156762516017513279039794046668602793067475353777397618069925097005920448048863443689917407470985099959665456269155930976292357695290579744400459546236491419594714498318774611058416779774912442385206593439321885894300377488010557607385056021836053477676106529809455436630045464431584928578578967335860460946505009095991865580940001230015552777166296540749830652517578356652244717882843771169823363118023843365509373321598566177201179813012246576232799666405446780040930297887926202141682402853528323498327459752485608066877073168909413558138084332643106910253295556186255421839366025636888584437735834614476776136953498990951913669283224093029321078657735708530941513927981489816197581513787889755617522965323156123716113913965204214508414832982275257779764007756518891820954779650860363162436909591919517028626084448571347581145995846000753292149513899509683193856511242343416569474552024805264054919729920364525350102468508052449603320146342406978695260609375533229390375616858681890046431803884062025428899393857800810377127078300955710403104011075765222760575945374908837623752352902716764139577096789806837656464030936800866278074288302005864989471294598533131942116269465295759885433220907858527133004976539623482001003022076738085444674121797129682068266989663370682670272431726721855505222600125833817288123432708014251157902460888432513703911728743190789711718844142439678350209672837058358440426247581023602229413104644406346635079148500975050252813045352253338282156156036426859561245010252550386203469839005878483612905798195926948532593749693870521594556202371192608885391344814673797520386139046812757748720340217394948173852828369854315636884858233736779896693997000782608434914080101181427948976046739553470856710034990763540321698535787014422914656382911255079983361157283696947858503612093224524402438352429404336424539711927438654357788274342654095740949430347627023515148967078740849306012925328620452282700760184109791880159717393259144167580368440470223417614465264657994593117492530017334124048881294966208721400983734235460252754630334145117393521046118398696794212296700879530573911843000287266485369802149434131715533709873087183955358055447077570256485100595177065665116108733810508643749897317798602430793609210495976416933655988054143380547257927357148705972055946416526454135412391179631689207964494485949689379923754563217776977431063357627853930105169548148505146545810741035854719139596588462698729375707418893827795453333729636687183790749500857584309346308123990606290893876975985252312937880362277471224494160494076239948271541011053392536657772443969874507683581495476638668878480835379939691039116797032488839694413033568698479085785506304480155593294934837423409377135756473169990784942518512123364800880672238881101450569811025462396311957361196159874476760721410876692100166757252789842799723546265068790206980712091716264586681182833649204034833982901947400146573e-01  1.5     

7.89648376012751323832052046432274764348486817791742216017604413701680735985018627001095986056342647055912501969537472311608686671788320317425712476150373828902485865889399223317625771428217836889730636157112869879296863382821397276465377197559909588778297452748011509508516745267386425480220918437168886357826038515665155328005023335183048616745359676158324870841141090765588921543210571347792833329553819680133695596933683955662995478160353846340257145126438612572060896622042426633547397405198325694588531682299137602843220464312481628718907426469670381764955447322187902241846284599396593462410092204583159714214172551904671806675463096215451911474665855063804894262955392683599297323720586454853760659124299105575590211373663175731244426264316610914412306447847836928830550388457149630685570905661767879191578960618799849422553454644208890737295469103683094868786034965153203566329544258488999277190755087549572910998463745579422503607172593377820464677626268837705923369836055009245876631251311340420010127559722572868975491078129596079608224474835067338623609898809114470444987069007312468883622755290292630958142220297125012105723948217869838556971483789995332946426642534803438364368323212246959716660876117031181013953733924464894559051058215199190079600719203704423261543177339632934805770574495779981770684014032804554731294691473546444451558232906705484392558011399533313746159942797200230469767491003804689246610733442899786901304902865467780391437777157303027704079910464188208905028785136211049013947786324494424199298312247137795377422116423289282298228641761978223733741307891770091935410027551560205415367792736909121404809430056890249782187414225744609589061245223476018547286169616428637600316737466673123305191445822695036419698927974687347729071683561577804420054278807876494179534364304393310476104493831228494062937575183472600049804947767026537033708246990041702435695947681214164181687132753725631276196175773331025611462103538492682571094465778093103339469779815837804945979055955292938602899673653787570368925625445543616924107703782073488986931562393478203900377956361341749174980374357540962500113080077631332340076162952232462141854050127654826112343604991175752454572097799669420874598144777221067145423632104223653316791519704173549344890454264419699462200004113278006050567054561404546584123667286597685887924473519710399859505197719984448437137390088756988688208969632007392442169999794451509999002992990274256048779232572572378448682832116752102083192956764796395209294947929342147781463270919143424695887966669125509831202446426247558215530868228557661502384566795255029068161798033354199225197962418124674848961526823205597094278680616691873709558743531073041977543131378632674755451116851700796799225422262281163883158292621453115562582858513116985693451703198989556551159630277715500756992577902906478280014082623012691487120711395362263017370843831215050737059592040082960737079519511429113678806961090942576074083198601479415331844886282588613867688807976768688188358378e-01  1.0     
  7.46467935160559483751690612554072772521234303994878427887586006382161162967614065467403582327871535386871396071640678574754882396255296355118595656515972932837691810168061849380492419310647368529933732139211382474340934731223119070159575133028278888033278361219022358392778197986537907153617652775246954552409722291055023172767354649865450619784289331906415220015005419199940259132287500031698501391059193147923596225808521888024347393307281505464705376392015013457295606722925093266621288952162234232734387386298540439144668961242782791516043300701502743438058583465332713706830903903948255770038269801303383998912467601018170287572499038269653570693491269679474870231955895999519503353193019861488900907034790299685084057924828744350804594333395708633669425647018306250307092050388688183700120465867704812017918469295961117409203921724325748937192160598695817256714412800939150786836542587161918952330395751787475693682532785591736725206959978966979962071993926877506718346862738421859852710897579492848234958813500892712845610516863349369893460666466989378276083095633874625141312880620111197019699696965403409830867180351682047307643161134885637850667213313987704184526901772785854683625073257000779714160823974036950113675656317934581452017593592959395379471310595824129230754568787495116547287948089619513589367121617973993643227362417641957278129920199721282214023906575244948388371014366136430405044816190506874371563276819903775633680334082099803366726744671621999478300578858012220956765735969939272623755588289048119195986108111518553585857726106417257981551846540774070543753388975390668596973286398915842268530287094049589062704405220221030890444912278709051784217564964261384971962759991681640465644337305956816721839247377865470423348051653067146832490960393553450540137370985787343179953590923563390427580621609919813563680734796037957084147768404279173995470972950874643583942680635057620479083771403064177853655519516366406810673997206063104479486876096039434180047772281734131251272743404938937471216119511347341694837184011118902287263247534869175164116445708337470802362464013865028132885882007450900065663776178314629429774341311359477483840767252504457428393373755140397481346447154577356266694132227172860741183841720754423916511785272185548192771813505276388193883302995743759132647573395444648029260157800986259951864642686178357259167924004622405361072774145091774257473687233667503132160672977528028172087865773684621528099844431332312959298651243095490615033721757426413154791194882394541115026250457538543772067040561588385876295368147895255423468449205524503700109834627862307160664550217967831108601427064010634708017814653559164331460109458858426808160645993638507801146894624067947383874755037402847951755554273627211655644276781527389075985860991707150434992054117722115278957210458026990132305033849706326605522632509555467342948909110807556832395810414806397520123814430323788067369711897338021327942701978017948817928430543624114529991552558241193431490881418799491521633248e-01  0.75    
   7.22733875143947280850058795134338272223526244539724791595722111084498463917655930633915658219385684680157015906650377652527428720833294962992258637222369027095560685834984676978633575440807256415527430521942960070011080811746654243282037064380533397692671892116624926552794469645447394532742834755478937035085107120313389211583667875292355101945153242990579868628051136720479176370533937564381254065695821618035870695014598782033197498463187145061503189711672422263631943888051693813896479839612359549120142827786665578079413599751292918857657009629752492040370778903169486723380437618294414853572388226485128982051376324259797052480663736661964476028537508095419127857166702861865145678182817292044758392655007563123910361364976850765525423708054410790517035157063389469938778525243253855456967029530299628502632477825747614498429974903126338492148043607161633415537047452510086741250793463955234484008358774802397007392590811375859013059010368636231419688448997030478026252591824437069542929397694844928097217124982505332252148975542332687440474493863217363608550968670135093507784984580225282137060934723047295119004692153391655628076340167841129296076298819058284703592033300299302134561330381995463538383940747237347414094366246205932936201416273043631073152906998359988502202877116835587964496425440057206178884530456740001803104070276781869480199697066934197057746588790833219108471625716556845454017278091302017741226277043807622538871409744600064513925851133931170132517440436030426505120126032579804196178229616747286150820431162599577645315785324495369367492525592035092354983207900190207814751812186535901805065186889761391311497244847773187450871196895782121939663136655077169746993420466221147697421336277193044287387896421334768989645625365236199600053054744862590956564722843025320428073082008254260189360926666350693550678153155148828612073701507399233778836419540872918218525931583373204767687833132652255946088730451006405998281919419703447953795884621543871824741522081823917196165834599201598964259081567233385678726555856141405130920136251318544979469534507706160953097036812361703315217308118762907999799440402029611889569309431519860601711737140968179253579523971718339264682286912651683073796065940122106605946464630015588067422338579907715284341786334125940430957780044072000360899138364371849664009295913527695745080217894962440175857590818468072726480281998862235961456193016356720571271310056088396687537635838242980097512164269499453786953508110053019054914855604005920927745364304447489297062145647733405430529741245680831989446037298689572744315265210212903065281669823380824323180838446408670802654579051773797014625005424411652837225612499767660374606824622307772034397480992249172432926667940042147956564052202652942011151326257719069405443125627050217240529312541282004328729814779215067253969108596829178186027656263235399620845457216170135776010922176154457972205065446736597479595260705685326587609125671207523798780327018474321715335774077118027255323416662301765207189458e-01  0.649396

