# M = 32, N = 16, V/t = 10.0, alpha=5 
# n   P_(n)^(alpha)            P_(n,alpha) 
  0   1.4365121067204716e-166  2.302012135954635e-165   
  1   2.6837614470649803e-155  6.081860683885518e-156   
  2   2.766525320190406e-152   6.600271779958113e-155   
  3   3.1705060248065293e-152  5.160311236996364e-155   
  4   4.2865975745880296e-151  1.0324784077255745e-154  
  5   2.510596072941943e-90    2.614534643755256e-90    
  6   1.5014984795985886e-40   1.5038328611998192e-40   
  7   1.1068785512593444e-10   1.1069152476827783e-10   
  8   0.9999999997786243       0.999999999778617        
  9   1.1068785511995559e-10   1.1069152476827665e-10   
  10  1.50149847954377e-40     1.5038328611997896e-40   
  11  2.5105960728940215e-90   2.614534643763008e-90    
  12  4.27700742053085e-151    1.0614063008805845e-154  
  13  3.247560604496566e-152   5.2512384511323825e-155  
  14  2.857414247272406e-152   6.931377920648264e-155   
  15  2.5182284450625085e-155  5.528030022006857e-156   
  16  7.899832474040188e-167   1.265948970577505e-165   
