# M=26, N=13, max=1, PBC
# U/t E0/t              S1(l=13)            S1_OP(l=13)          S2(l=13)            S2_OP(l=13)              Sigma2_n(l=13)
0.030000000019365026 -16.47717070760584 1.431096487771456 0.42070328191322043 1.1196332837743666 0.22919451952624342 0.4420918054812333
0.0332441058799503 -16.464738983758934 1.4310977164005565 0.4210269225738739 1.119591555809484 0.22941303649438535 0.4418083938616064
0.03683901916813193 -16.45097095205808 1.4310992221462229 0.42138528564594446 1.119545634982855 0.22965505403043146 0.44149492497157894
0.04082267509827882 -16.43572393025886 1.4311010671246491 0.4217820645888257 1.1194951392273265 0.22992308464892539 0.44114828004998685
0.045237111079799136 -16.418840219986006 1.431103327238203 0.42222133878069873 1.11943966089404 0.2302199062512056 0.44076503188839666
0.05012891031563893 -16.400145576310702 1.4311060951867602 0.4227076123479185 1.1193787673872957 0.23054858946254073 0.44034141780946356
0.05554969337013041 -16.379447532842164 1.4311094841198035 0.4232458565940909 1.1193120025789365 0.23091252764907508 0.4398733109484141
0.06155666289344478 -16.356533571402988 1.4311136320597746 0.4238415563056965 1.1192388892265543 0.2313154698591289 0.43935618974183654
0.06821320725083786 -16.331169125214263 1.4311187072516083 0.42450076020366495 1.1191589326685256 0.23176155691078293 0.43878510630805323
0.07558956942646847 -16.30309540458336 1.4311249146217138 0.4252301358471935 1.1190716261261555 0.23225536092793173 0.43815465328064107
0.08376358826037628 -16.27202703443491 1.4311325035624674 0.4260370292788129 1.118976458009839 0.23280192858880794 0.43745892978056844
0.09282151984050066 -16.237649493744577 1.4311417772952182 0.4269295297210716 1.1188729217027533 0.23340682840251373 0.4366915066827488
0.10285894771745487 -16.199616348136775 1.4311531041067933 0.42791653963623927 1.1187605283830702 0.23407620233649995 0.435845391671549
0.1139817915470694 -16.157546268725056 1.4311669308009152 0.4290078504689906 1.118638823543669 0.23481682214164096 0.43491299465089384
0.12630742480437512 -16.111019832882462 1.4311837987567173 0.43021422440579726 1.1185074079767405 0.23563615075268005 0.43388609406819967
0.13996591336366881 -16.05957610623888 1.4312043630406417 0.4315474824913261 1.1183659641074197 0.23654240914633143 0.4327558052616425
0.1551013880147405 -16.002709010067175 1.4312294150742637 0.4330205994868993 1.118214288683174 0.23754464911062714 0.4315125513239835
0.1718735653986984 -15.939863484670951 1.4312599094160408 0.43464780587735125 1.1180523329484986 0.23865283236536047 0.4301460380367672
0.19045943341302138 -15.870431467810523 1.4312969952664496 0.43644469752174914 1.1178802515496857 0.23987791656163265 0.42864523367563834
0.21105511887102466 -15.793747718099896 1.4313420533470802 0.4384283535298416 1.117698461509652 0.24123194869434483 0.42699835535100306
0.23387795712415962 -15.709085527280624 1.4313967388275304 0.4406174631192445 1.117507712669643 0.24272816655073523 0.42519286287571845
0.2591687854867744 -15.61565238309225 1.4314630309656449 0.4430324624183856 1.117309170986567 0.24438110883149905 0.4232154618005879
0.28719448466463093 -15.512585667069297 1.4315432900697829 0.44569568250812924 1.1171045159625606 0.24620673463791795 0.421052116743887
0.31825079500552733 -15.398948500209867 1.4316403222568335 0.44863151043044436 1.1168960532103895 0.24822255301399265 0.4186880759472018
0.35266543729042454 -15.27372588562552 1.4317574522237115 0.45186656546353 1.1166868426403718 0.250447763125912 0.41610790799960284
0.39080157099713214 -15.135821342994856 1.4318986038020487 0.4554298937216235 1.1164808418657235 0.2529034054428517 0.41329555051007105
0.43306162652977764 -14.984054287522293 1.432068387308048 0.45935318504154615 1.1162830629704081 0.25561252371028587 0.41023436996022866
0.4798915518535437 -14.817158479636884 1.4322721914286471 0.46367101713784314 1.1160997384649158 0.25860033636865104 0.40690723122703076
0.5317855183471609 -14.6337819655851 1.4325162752382319 0.46842113301465876 1.1159384885828756 0.26189441398301727 0.40329657317841594
0.5892911355315212 -14.432489049923767 1.4328078522475944 0.4736447581778822 1.1158084762389269 0.26552485532829095 0.3993844853519519
0.6530152297026794 -14.21176499795933 1.4331551518808265 0.4793869634454527 1.1157205266001387 0.26952444771892997 0.3951527786580584
