# M=32, N=16, max=1, PBC
# U/t                  E0/t                S1(l=16)             S1_OP(l=16)          S2.0(l=16)           S2.0_OP(l=16)        Sigma2_n(l=16)       H(2.0)              S(2.0)_OP(5) 
  -0.030000000019365026 -20.547377599366037 1.5001163710523568  0.4608327804339749  1.1477851743605723  0.2547305068945783  0.468027370191777   0.8776894606916381  0.25441429849165775
  -0.07558956942646847 -20.765760925088678 1.5001468429466664  0.45603586024907466 1.1493767142841034  0.25142739857803936 0.47257656371048995 0.883063068161958   0.25112850681691007
  -0.28719448466463093 -21.801979954045063 1.5006792942674714  0.43303929296597976 1.1575572911553091  0.23579051205710272 0.4953769720228678  0.9089824585352639  0.23556190066022575
  -0.7236302474480942  -24.063385635758635 1.5045822872521488  0.3803073720787999  1.179778433891138   0.20102589530577125 0.5548095244974434  0.9697366497390114  0.20090112014772585
  -1.8232966264420694  -30.715173410506313 1.5894115676369196  0.13457536137758003 1.3624589186426832  0.05689860348559858 1.0745182815821863  1.3040834166080764  0.05689444397057627
  -2.0204622020290017  -32.16097136164295  1.9580586769469774  0.03892646603665077 1.786884491654416   0.012830406482130994 2.721078816313664   1.7735017720225537  0.012829829341865174
  -2.2389486442444126  -34.818512101291326 3.3729313462846804  0.6263103546812007  3.3005366829069187  0.5858012347961029  19.38848018809584   2.7199311171216087  0.5748951475990546
  -2.4810615246995535  -38.228875643064484 3.407963364799756   0.6287423294725644  3.352134412033766   0.6003631329825478  20.538547971946898  2.7571279013113843  0.5900959819135869
  -2.7493557322847186  -42.10318278760255  3.4241909076156447  0.6318692388906676  3.378893964838286   0.6083754326091275  20.92724186369321   2.7724804762035733  0.5989001020028064
  -3.0466624335574264  -46.44830701841286  3.4343126292157016  0.634772075181979   3.3981878217598656  0.6144335611462567  21.11958414748196   2.7815128707472088  0.6057565508512348
  -3.376118948542384   -51.29794396955978  3.4413460934689426  0.6372894731716591  3.4128126820186253  0.6197148427102264  21.23170163473054   2.7874695771356004  0.6116286452493735
  -3.741201857206702   -56.69749108930077  3.4465121056738575  0.6394269999844642  3.424028266231134   0.6244046225278217  21.30346894443997   2.7916115052934356  0.6166987671110135
  -5.090862259841395   -76.77224955970038  3.455863249324183   0.6439766174571815  3.4447226641774438  0.6350923014646928  21.412241692107955  2.798422243510867   0.6277552885115721
  -14.214296331612768  -213.35585175877455 3.464501571196059   0.6490300275626288  3.463233553695197   0.6478001420833619  21.490501259101336  2.8036846086149456  0.6401268197694665
  -39.68801548545431   -595.3706573615233  3.465577339383144   0.6497220883865099  3.4654180167418076  0.6495633952122912  21.49880609281503   2.8042552714982145  0.641784172179942
  -100.0               -1500.0200020004004 3.4657109088971674  0.6498091562544377  3.4656858915488096  0.6497841545298917  21.49981241246489   2.8043245116040065  0.6419907047055965
