# M=32, N=16, max=1, PBC
# U/t                  E0/t                S1(l=16)             S1_OP(l=16)          S2.0(l=16)           S2.0_OP(l=16)        Sigma2_n(l=16)       H(2.0)              S(2.0)_OP(5) 
  0.030000000019365026 -20.262539129197176 1.5001162426886114  0.4670726135475837  1.1457744818642206  0.25905008439154786 0.4622102211254884  0.8707141338282269  0.25870977292000863 
  0.07558956942646847  -20.04804882577665  1.5001447879106606  0.47176194273004435 1.1443079029422247  0.26231396540139623 0.4579111726892222  0.8654821630855316  0.26195428852588143
    0.28719448466463093  -19.074002011378607 1.500565091592174   0.4930259430760232  1.1381411030682984  0.27732008790730944 0.4391536534392628  0.8418481210451969  0.27685727038116137
    0.7236302474480942   -17.17325891188213  1.5026030934266863  0.5351300557457467  1.1283318861963902  0.3082466575305215  0.40513407488781183 0.7952980786806638  0.3074844102187016
    1.8232966264420694   -13.001507641651218 1.5103358902180875  0.6432229059924963  1.1179624751699384  0.40115332315121716 0.3301316871294091  0.6731687127380703  0.39882102785346435
    2.0204622020290017   -12.346412998897796 1.5107481516568768  0.6649828936806186  1.1178531184931557  0.42386138511153204 0.31580770856089657 0.6467931688185486  0.42111217054674566
    2.2389486442444126   -11.654598900741684 1.5095549226983527  0.6903652606375419  1.1178545039116783  0.4529463294071048  0.29868264246049137 0.6142230321939849  0.449733768163187
    2.4810615246995535   -10.931240531575996 1.5043693610230549  0.7194968397604333  1.117029929649656   0.49076558219452626 0.27765557743465763 0.572979884636705   0.48713460997568797
    2.7493557322847186   -10.185140570167594 1.490032803017925   0.7507022927088987  1.1125547473789523  0.5390950419265017  0.2514818815551365  0.5202242320096577  0.5353285260130791
    3.0466624335574264   -9.429748869136166  1.4574908046908577  0.7782265481517127  1.098064551646818   0.5956314963712455  0.2196403479158704  0.4546644258674324  0.5923921485001513
    3.376118948542384    -8.68262146669073   1.3974900610386924  0.7922559227236139  1.0652919619720915  0.6495736564854147  0.18401582272439043 0.3803359217661595  0.6475971592618881
    3.741201857206702    -7.961425337138782  1.3120532263676665  0.7870292988275467  1.0138499095717153  0.6863019257421552  0.14927707178240723 0.30749514690064905 0.6855641774175506
    5.090862259841395    -6.044593268459775  1.0584719210231865  0.7315741412765945  0.861246360539144   0.7022363601473929  0.0776743488929128  0.15813787132220963 0.7022338633729566
    14.214296331612768   -2.240112601459936  0.7564148797574269  0.6940166357754352  0.7131437258467682  0.6932971196163747  0.00989897591945521 0.01984660594741368 0.6932971196476514
    39.68801548545431    -0.8057768559135174 0.7037830399311388  0.6931662389488595  0.6956898705933542  0.6931496050335689  0.0012697300968937952 0.0025402655594814927 0.6931496050347429
    100.0                -0.3199680000017547 0.6951898114929803  0.6931477634014052  0.6935472605851973  0.6931472405836447  0.0002000000072257535 0.00040002000149647835 0.6931472405838641
